predictions,labels,entropys,plpds
8,8,0.1008002,0.88236856
4,4,3.5865014e-05,0.7479332
3,3,0.0006263865,0.7196171
0,0,6.4825275e-05,0.990658
5,2,0.0072204056,0.99744195
3,3,0.047459673,0.99215186
9,9,0.0003081821,0.9915834
3,3,3.773999e-05,0.99035454
2,2,6.049465e-06,0.99731624
4,4,0.0017576219,0.9996214
7,7,0.00021185161,0.99987954
6,6,0.0006022325,0.89142436
6,6,0.00022046547,0.007036686
7,7,3.6349076e-05,0.028419435
1,1,0.0005026232,0.011902094
1,1,0.0013456066,0.008308053
6,6,0.0017704578,0.010674059
3,3,0.00023394871,0.8485384
1,1,0.0014465842,0.9482024
1,1,0.006767014,0.7261509
9,9,0.0022565704,0.06559998
3,3,1.9997002e-05,0.00013077259
2,2,3.4057585e-08,0.9975752
6,6,9.2787166e-05,0.12084919
8,8,0.0006561157,0.04913956
1,1,0.0002240779,0.26867777
2,2,2.7321665e-05,0.99877036
4,4,9.988545e-05,0.8709147
8,8,0.0006783424,0.9995353
4,4,1.8688686e-05,0.99771786
7,7,4.2531894e-05,0.000369668
4,4,7.843117e-06,0.0012162328
6,6,0.00011057484,0.7773329
5,5,0.0003650181,0.99930406
4,4,0.0003897974,0.0019616485
0,0,0.00016109033,0.99409723
8,8,0.0008783882,0.0016730428
5,4,0.00024883146,0.97388434
9,9,8.7268185e-05,0.92342955
7,7,1.724912e-05,0.0019464493
4,4,0.0022706634,0.999622
4,4,1.4937292e-05,0.29269457
9,9,0.02304783,0.99532866
1,1,0.00010245736,0.0032451153
8,8,0.00051728147,0.058451533
8,8,0.08615895,0.9847393
8,8,6.81872e-06,0.10965675
6,6,0.00024453536,0.94279015
7,7,0.0008828013,0.97561175
8,8,0.00088893494,0.99938625
0,0,4.5273773e-05,0.00015318394
1,1,0.0019006876,0.8999444
9,9,0.00013107943,0.00022357702
6,6,0.10542853,0.9437569
6,6,9.491411e-05,0.25385952
6,6,0.00030414364,0.8345367
6,6,0.0016657439,0.9959089
3,5,0.5982696,0.691728
7,7,0.0009552421,0.058613896
5,5,0.000107124055,0.99249566
8,9,0.013032937,0.9982331
1,9,0.8223778,0.34688765
7,7,0.11324253,0.7248776
9,9,8.687595e-06,0.98038995
