predictions,labels,entropys,plpds
8,8,0.00394923,0.081713736
6,6,5.601313e-05,0.9975582
6,6,0.0005631258,0.00753808
6,6,9.774846e-05,0.95635265
6,6,0.00034769403,0.00021523237
7,7,0.00034861892,0.9950883
6,6,0.006529488,0.9904292
5,5,0.0011498111,0.9457658
4,5,0.0027071156,-4.720688e-05
5,5,0.018200226,0.21084684
4,4,0.016881011,0.69563663
6,6,0.0007867686,0.91223633
7,7,0.0018769234,0.90527695
7,7,0.0002439764,0.4436965
5,5,0.000789411,0.95853335
4,4,0.030770805,0.9951706
1,0,0.9575701,0.56810504
3,3,6.8144705e-06,0.86871535
4,4,0.00012529956,0.00013625622
1,1,0.00039036034,0.99982697
9,9,5.6288256e-05,0.9362987
8,8,2.9106744e-05,0.31282383
3,3,0.00018704883,0.99580365
3,5,0.6743692,0.17170578
1,1,0.0005325409,0.9951463
6,6,0.00014095906,0.24648005
3,3,2.4221936e-05,0.93552864
1,1,1.24249045e-05,0.5171697
2,5,0.40816194,0.8702245
8,8,0.00075382803,0.041085303
1,1,0.00034933747,0.995092
9,9,0.00012103735,0.68896675
7,7,0.018757196,0.98382443
8,8,0.00026900673,0.36969566
0,0,8.9490175e-05,0.0056247115
5,5,0.002244705,0.050954163
3,3,0.00164283,0.998976
2,2,0.00023717702,0.0043400526
0,0,0.00063437154,0.9999397
4,4,0.0037482446,0.99815273
4,4,0.001128627,0.9998783
5,3,0.7168707,0.74808383
5,5,0.019626115,0.02409488
2,2,0.0023843532,0.31490737
7,7,0.0021736003,0.9979727
0,0,0.0054956507,0.45238298
8,8,0.00096257543,0.084730804
3,3,0.005545633,0.9852718
2,2,8.4806794e-05,0.26826668
0,0,0.00017827425,0.01981777
3,3,0.7178628,0.7061461
7,7,0.00011509715,0.99408144
3,3,0.004122356,0.024074554
6,6,0.032502167,0.64616466
5,5,3.1424017e-05,0.99993634
6,6,0.022785146,-0.0001475811
0,0,0.19444382,0.9550213
7,7,1.6213948e-05,0.06703979
5,5,0.0006204622,0.9988559
4,4,2.176904e-05,0.001278758
1,1,0.0006767307,0.98136497
4,4,0.009641051,0.99760556
9,9,0.13294667,-0.027481377
4,4,0.5271734,0.79090893
