predictions,labels,entropys,plpds
7,7,0.00038427612,0.005184293
7,3,0.010775897,0.9942637
8,8,8.770985e-05,0.0058549643
9,9,0.023674767,0.00091040134
3,7,0.6925942,-0.19921237
6,6,3.7827693e-05,0.0036420822
0,0,0.48709503,0.081982434
0,0,7.806169e-05,7.7843666e-05
5,5,0.0010298002,0.6769211
9,9,0.0011357006,0.9980297
4,4,0.00045392668,0.9879324
0,0,0.0046705864,0.0005431771
0,0,0.00019899817,0.9173907
5,5,1.2747083e-05,0.26314056
4,4,0.0039295615,0.12455827
7,7,0.04818999,0.99270195
4,4,0.00048678886,0.0040333867
9,9,0.00056681654,0.9999147
6,6,0.00012686646,0.8054002
4,4,0.026549634,0.6754484
6,6,5.071764e-06,0.9809745
9,9,0.0007939052,0.5423504
0,0,3.1690528e-05,3.9339066e-06
7,7,2.3642546e-05,0.8367749
8,8,0.00047425288,0.6682366
7,7,8.203265e-05,0.0003541708
1,1,1.6804004e-05,0.9882194
9,9,0.0013502274,0.18696779
9,9,0.0004790332,0.00037747622
3,3,0.10342154,0.97875875
8,8,0.00013674033,-2.861023e-06
3,3,0.0033065758,0.99936557
0,0,0.0004616932,0.92763627
9,9,0.0011123234,0.99852276
4,4,4.0120816e-05,0.99634534
2,2,2.276697e-05,0.99569076
1,1,0.027914137,0.995858
3,3,6.425728e-05,0.56810045
9,9,0.07774017,0.98707235
5,5,2.2620437e-05,0.054376364
9,9,0.0121169975,-0.0010218024
0,0,0.00019661573,0.24679732
7,7,9.319918e-05,0.99149466
2,2,8.885634e-05,0.9999717
6,6,0.0013647778,0.9997747
3,3,0.015589443,0.94744974
0,0,0.0021646325,0.004237652
0,0,0.0013241499,0.9980122
9,9,0.0008647972,0.42715806
5,5,0.0024621873,0.15905327
1,1,7.094767e-05,0.026955545
2,2,0.00047101267,0.99989396
0,0,0.002537424,0.9991529
2,2,0.0009835503,0.9899823
1,1,0.0010291461,0.99989307
4,4,0.000805364,2.8371811e-05
1,1,0.17274427,0.11522812
4,4,0.00035911254,0.9979852
9,9,0.0012897588,0.99289644
3,9,0.034258414,0.9919941
1,1,0.0001861483,0.9986808
5,5,0.00011799891,0.99999076
2,2,0.00020309201,0.98327124
9,9,0.0041981516,0.9898441
