predictions,labels,entropys,plpds
9,9,0.00043886644,0.8099806
0,0,0.022896662,0.9791282
5,7,0.1606458,0.96860987
9,9,5.835894e-05,0.93060356
0,0,0.002234959,0.013916612
0,0,0.0008089307,0.07956773
8,8,0.0013266469,0.67343783
7,7,0.017044356,0.99758244
6,6,6.140535e-06,0.9998672
1,1,0.00022971944,0.0087457895
3,3,0.0018808402,0.9990257
9,9,8.922717e-05,0.6509949
2,2,0.00018692265,0.44166172
3,4,0.15102589,0.9742319
4,4,0.00014093681,0.94116473
3,4,1.0914228,0.43851316
4,4,0.00041811826,0.0001912713
4,4,0.012163589,0.90842247
5,5,0.23946658,0.052354395
4,6,0.0014432764,-2.2530556e-05
3,3,0.07495431,0.9891284
5,7,0.07590471,0.98743767
6,6,0.0031022332,0.6207519
5,3,0.7249392,-0.22089458
4,4,0.0005359136,0.7422644
6,6,0.0009297343,0.008577764
3,3,0.023794835,0.9965248
4,4,0.10833177,-0.018352687
0,0,2.5115256e-05,0.23021376
7,7,5.6837438e-05,0.9882098
9,9,0.017874371,0.02228123
5,5,1.5716358e-05,0.99652505
1,1,0.010335625,0.9987079
9,9,0.001884173,0.9998236
1,1,0.0016342169,0.0040210485
9,6,0.6264576,0.8192021
2,6,0.0007500138,0.99993426
6,3,1.1010514,0.5353603
2,6,0.7007688,0.75137395
4,4,0.0011335282,0.0789606
6,6,0.0060255565,0.990875
0,4,0.029785637,0.9291775
3,3,0.010755194,0.5243122
6,6,0.57345,0.797068
0,0,0.012950351,0.5781008
0,0,0.0004944926,0.98716956
2,2,0.0030008964,0.028239906
5,5,0.002540348,0.9984274
8,8,0.012118504,0.6173705
7,7,0.00018317807,0.9959013
2,2,0.00019812802,0.00060391426
2,2,0.0016153478,0.01519686
3,3,0.0028962994,0.040990353
1,1,0.0008122627,0.9864071
8,8,8.576345e-06,0.08056885
2,2,2.2845497e-06,0.90606165
4,4,0.1465339,0.1879977
4,4,0.0005402578,0.9960606
4,4,0.0033304226,0.7566531
1,1,0.0024745993,0.9981459
8,0,0.09937321,0.004070878
3,3,0.02104694,0.5420537
1,1,1.1587536,0.5988412
8,8,0.07393657,0.98493004
