predictions,labels,entropys,plpds
6,6,0.0013837722,0.9862829
6,6,0.00034130752,0.99857897
1,1,5.669502e-05,0.10930902
8,8,0.00034945563,0.06812549
5,5,0.000117054195,0.99110353
3,3,0.00035657838,-2.2649765e-05
4,4,0.0017461365,0.066578746
9,9,7.2076786e-05,0.9986383
8,8,0.00026313268,-3.9339066e-06
7,7,0.0024817702,0.9756452
4,4,0.00034197036,0.9999699
8,8,1.2712219e-05,0.99055135
1,1,1.572897e-05,0.9991157
8,8,0.00056775904,0.99949
7,7,0.00064245187,0.899787
3,3,8.835689e-05,0.0006015301
3,3,1.1258066e-05,0.24600512
5,5,1.1709602e-05,0.9962051
6,6,0.00090328604,0.81897634
4,4,0.38126686,-0.0046094656
2,2,0.0003636494,0.8316521
2,2,3.4489526e-06,0.8444716
1,1,0.0015786539,0.9308828
2,2,0.0010348673,0.94264233
3,3,0.00070091133,0.9997758
7,7,0.0042163227,0.99600375
2,2,0.020170968,0.099660516
2,2,0.0024513032,0.9995621
0,0,0.00064928905,0.0016155839
7,7,0.00011620835,0.89758486
9,9,0.00093133026,0.0007471442
4,4,0.00040212256,0.52567136
8,8,0.0001268631,0.25239563
7,7,0.000510781,0.0029447079
6,6,0.00033301522,-2.014637e-05
4,4,0.00011993489,0.00070142746
3,3,0.0009695437,0.00045913458
4,7,0.72696227,-0.40720814
6,6,4.396749e-05,0.98848706
1,1,0.62249833,0.44721368
4,4,0.007579374,0.87467736
3,3,7.2286593e-06,0.00010383129
3,3,0.01352182,0.9688202
4,4,7.658868e-05,0.09454423
4,4,0.0072845314,0.99918765
0,2,0.6667775,0.61736023
7,7,0.000346903,0.96161383
2,2,8.4011626e-05,0.99728036
5,5,0.0002820537,0.9986049
6,6,0.000476094,0.9469854
2,2,0.0007003801,0.9996737
1,8,0.009332554,0.9987298
8,8,0.00019224857,0.0048004985
7,7,0.0055437232,0.7329728
0,0,2.5710322e-06,0.0009608269
1,1,0.0026179028,0.905732
3,6,0.5001153,0.8592594
5,5,0.87374896,0.16145074
9,9,5.9582937e-05,0.8993388
6,6,0.0055514863,0.9875755
9,9,0.0034289882,0.061359227
4,4,2.8911401e-05,0.00017744303
9,9,0.0019775226,0.99817824
1,1,0.00019702245,0.026296735
