predictions,labels,entropys,plpds
0,0,6.011375e-05,0.9765446
7,7,0.10132088,0.9830805
1,1,0.0013016228,0.9947623
9,9,0.00095407024,0.21732074
5,5,0.0017051982,0.69401276
1,1,0.00081679015,0.111335516
3,3,0.062192053,0.99063194
2,2,1.887322e-05,0.97032565
3,3,3.857838e-05,0.9996205
4,4,0.0047680917,0.99378556
6,3,0.029615134,0.99432874
8,8,0.14175075,0.966341
0,0,0.5715883,0.7804238
3,3,0.0053021796,0.9699501
2,2,0.0001309778,0.0065380335
1,1,0.006033684,0.9939483
1,1,0.0028071655,0.22186285
1,1,0.0008683359,0.99808985
6,6,0.00012310245,0.09329605
2,2,0.116185695,0.97879636
9,9,0.36521578,0.9119894
7,5,0.40686914,0.86234
2,2,7.392771e-05,0.30266786
6,6,0.0001279345,0.47121394
9,6,0.36084288,0.5696157
7,7,0.0013642824,0.94128627
6,6,0.00038134813,0.00069850683
9,9,0.00021436984,0.0012676716
3,3,0.0022966103,0.98093086
5,3,0.7548559,-0.41112697
2,2,0.060365684,0.9372996
4,4,0.6411496,0.075953186
8,8,0.00029356376,0.03927225
5,5,0.00031932458,0.938131
7,7,0.00056771666,0.99891406
4,4,0.00012369415,0.15057409
8,8,1.980664e-05,0.9925474
1,1,0.0020546897,0.9891119
8,8,8.501407e-05,0.97354925
4,4,0.00028016226,0.99733156
8,8,0.10231239,0.9798996
2,2,0.00037661375,0.48754978
0,0,0.3543093,-0.08641738
0,0,0.00018873578,0.99539775
4,4,0.0051943986,0.999455
8,8,0.00033688932,0.77741474
0,0,0.31792027,0.6987545
9,9,0.0031084171,-0.000106692314
1,1,0.0018400671,0.99983054
3,3,0.0001501111,0.9991072
5,5,0.0017833698,-0.00012201071
8,8,0.033925246,0.9340119
7,5,0.003455134,0.9833505
2,2,0.44864678,0.7251853
3,3,0.28395134,0.9277985
2,2,0.0014222709,0.9998243
1,1,3.4574507e-05,0.1964947
4,4,0.036603246,0.2248236
3,3,0.0014264946,0.8888294
4,4,0.0017569932,0.0012565255
8,3,0.49015266,0.85614985
7,4,0.1108142,0.97802603
2,2,0.0100005455,0.9908368
0,0,0.00019746323,0.00995338
