predictions,labels,entropys,plpds
8,8,0.014345625,0.9970618
3,7,0.29701632,0.93447286
8,8,6.1996565e-05,0.008697748
9,9,0.001159702,0.99975944
6,6,1.0903814,0.031150222
4,4,0.024658838,0.9966678
9,9,0.000758252,0.99899715
5,5,0.090716034,0.98292845
6,6,0.0002303973,5.9604645e-07
7,7,0.0037941115,0.9932563
4,4,0.037353434,0.0051975846
5,5,6.782953e-05,0.6764788
0,0,7.703038e-05,0.025024712
7,7,0.0072154696,0.99138
0,2,0.16448191,-0.022852063
8,8,5.658977e-05,0.8808013
8,8,1.0138134,0.4351744
7,7,0.0009398307,0.9712889
9,1,0.1730344,0.77447915
0,0,5.0063995e-06,0.03884411
5,5,9.2297414e-05,0.017266095
1,1,0.00015590675,0.99992085
6,6,0.024403716,0.99628186
4,2,0.5227145,-0.03945583
7,7,0.093308724,0.68892336
2,2,0.0009883641,0.9998566
8,8,0.00019047076,0.99966884
4,4,0.000375661,0.9498206
7,7,2.54086e-05,0.37110114
9,8,0.4243511,0.8503582
4,4,0.0011367842,0.84056616
0,8,0.6532302,0.6610398
3,3,0.0008734925,0.0031061172
0,0,0.9649969,-0.15043718
7,7,0.0011880095,0.8311511
2,2,0.001596744,0.0051489472
6,6,0.1940262,0.8815858
6,6,0.37877,0.87823445
2,5,0.83567643,0.6760666
7,7,0.20974314,0.96107584
2,2,0.8598324,0.66187847
9,9,6.475941e-05,0.984471
4,4,4.0590935e-06,0.87405187
5,5,0.00010493405,0.9976244
9,9,0.00027644995,0.5763438
6,6,8.154481e-05,0.83525664
4,5,0.018516233,0.24547142
4,4,0.00042152585,0.0012019873
3,3,7.537251e-05,0.9997421
9,7,0.007320609,0.14523363
2,2,0.002939165,0.0594998
1,1,0.0049903877,0.9851244
3,3,0.0003152687,0.00038069487
7,7,0.0010473673,0.9829401
0,0,0.013644427,-0.0016030073
3,5,0.05312621,-0.009373069
7,7,0.10984309,0.15466648
6,6,0.00058821717,0.03765011
3,5,0.69158447,0.42210084
7,7,0.01888635,0.9974757
2,5,0.6294795,0.6043373
8,8,0.0008768904,0.06344962
1,1,1.1486919e-05,0.8352636
8,8,0.09336708,-0.018550456
