predictions,labels,entropys,plpds
7,7,6.563749e-05,0.99986124
6,6,0.00089615845,0.99312377
6,6,5.9124075e-05,0.10095519
9,9,0.54620266,0.7431434
2,2,1.5277967e-05,0.9951143
1,1,0.00017072154,0.99996823
1,1,0.0011694918,0.059235573
0,0,0.48911458,-0.15053266
4,4,0.2808112,0.9135564
9,9,1.3944381e-05,0.30669987
3,3,0.027146984,-0.003900528
0,0,0.005290556,0.0054442286
7,7,0.0013133042,0.83517796
4,4,0.008141692,0.64552844
0,0,0.0024282553,0.0368703
2,2,0.009982467,0.6122178
8,8,0.000114555296,0.022396445
4,3,0.5228501,0.78591186
3,3,0.00867242,0.9071931
6,6,0.0009972977,0.992039
8,8,1.3889573,0.5152358
6,6,0.0018291404,6.67572e-06
0,0,0.0015471777,0.011780381
8,8,0.13745102,-0.02248013
0,0,0.00018079544,0.99795455
0,0,0.0007611045,-5.6028366e-05
7,7,8.413859e-05,0.30385804
3,3,0.00047168887,0.0059022903
2,2,0.22475886,0.32420528
6,6,0.0008029429,0.0011625886
1,1,0.42146558,0.14174294
5,5,1.3263187e-07,0.00041216612
7,7,0.00019443974,0.0054529905
8,8,9.574737e-05,0.17388624
2,7,0.7039472,0.8002503
5,5,2.7348724e-05,0.08433056
1,1,0.044276815,-0.006311059
5,3,0.00021979539,0.0012803078
4,2,0.39944723,0.036964238
5,5,3.046293e-06,0.30042583
9,9,4.8321715e-05,0.005788207
8,8,0.00064121955,0.8233782
4,4,4.266208e-05,0.10163069
7,7,0.0007431145,0.00087326765
6,6,0.0038926303,0.07174522
3,3,7.234879e-06,0.9857898
0,0,0.82234055,0.69200957
9,9,0.018839763,0.53103995
8,8,0.7034684,-0.47087014
3,3,0.046309907,0.6453227
8,8,0.0002727651,0.000220716
8,8,0.05302728,0.008064032
7,7,7.372032e-05,0.99831295
6,6,0.034348574,0.015847325
6,6,0.0006930424,0.99993706
0,0,0.02214288,0.87024426
2,2,0.018304162,0.9659766
1,1,0.0129621085,-0.0015829802
3,3,0.080920324,0.9842463
3,3,0.1130116,0.9780333
8,8,0.016823713,0.7878807
8,8,0.005339315,0.98943955
7,7,0.000978921,0.96174765
1,1,0.007552187,0.9971842
