predictions,labels,entropys,plpds
9,9,0.04332669,0.45511526
0,0,0.0019691014,0.99969995
8,8,0.0010618208,0.0031856298
6,6,7.142659e-05,0.98981935
6,6,4.7901158e-05,0.9999843
1,1,0.00013424875,0.17305994
3,4,1.1036116,0.49459913
6,6,0.0017320649,0.99461305
7,6,0.02097981,0.99089295
0,8,0.0025622533,0.99457455
1,1,0.00017552503,0.9687583
8,8,0.0015075671,0.011438251
5,2,0.033215802,0.9901311
8,8,0.00040421693,0.1763655
0,0,0.0046284115,0.97016406
8,8,0.0032499118,0.99311924
3,3,1.8998015e-06,0.99238366
2,2,0.0030906377,0.9981425
6,6,0.11784775,0.9776325
2,2,4.877215e-06,0.9835357
8,8,0.544122,0.84016466
3,3,0.0003410693,0.00048696995
5,5,3.9390732e-05,0.13473475
6,3,0.41601604,0.7382617
0,0,2.6084092e-05,0.003502071
8,8,0.0008521284,0.9213563
8,8,0.010795708,0.00021338463
8,8,0.025111532,0.3966012
9,9,0.012014075,0.9835098
3,3,0.77573097,0.7881488
3,3,0.6641243,0.44096994
6,6,0.13785408,0.9764955
5,5,0.0017743271,0.0061218143
1,1,0.0010600162,0.9998753
6,6,0.00014380127,-9.059906e-06
3,3,0.13091335,0.9286331
0,0,0.032243606,0.9950954
7,7,2.8744425e-05,0.1034469
0,0,0.08884462,-0.0028132796
2,2,0.0002848697,0.99795103
2,2,0.0004896085,0.09581685
7,7,7.74446e-06,8.559227e-05
4,4,1.4164888e-05,0.0006349683
9,9,0.02623377,0.996484
3,3,0.000751902,0.17677009
4,2,0.7564765,0.67779475
3,3,0.44348353,0.89583427
9,9,0.017776433,0.22569865
9,9,0.017493894,0.5778814
9,9,0.0066226926,0.0064513087
8,8,8.355346e-05,0.9380293
5,3,0.77026737,0.7269883
6,6,0.00021794788,5.197525e-05
9,9,0.0006450249,0.9999338
3,3,0.053158797,0.9809603
3,3,0.119194075,0.3502851
0,0,0.0005758644,0.99554443
0,0,0.0048285997,0.968714
8,8,0.0012425366,0.99512935
6,6,0.0010349216,0.999908
5,3,0.0015202836,0.9998541
1,1,0.00046965043,0.042533696
3,2,0.00045309807,0.12733
5,5,0.00033365702,-2.1576881e-05
