predictions,labels,entropys,plpds
7,7,0.0008424158,0.5653838
7,7,0.00023884214,0.42474622
1,1,0.0027667037,0.9834767
3,4,0.71308804,-0.40295213
6,1,0.06766616,-0.009655714
1,1,6.652999e-05,0.08571923
9,9,0.0004588667,0.99996173
8,8,3.282468e-05,0.0071157217
0,0,0.0009651747,0.9896774
4,4,0.00023056184,0.010577917
1,1,0.004542648,0.9995075
6,6,0.0011389419,0.037885427
8,8,0.001427943,0.0009171963
9,9,0.017171815,0.39849246
7,7,0.00029585024,0.7210516
2,2,0.00035489636,0.84621406
3,7,0.54922056,0.78547674
9,9,0.009174486,0.66330516
2,2,0.038301233,-0.005567491
1,1,0.01640317,0.59718657
0,8,0.41420442,0.8556416
2,2,0.18693036,0.9244181
7,7,0.0077974307,0.9985489
4,4,0.00068335934,0.94155645
6,6,0.0004208707,0.9977237
9,9,0.0025940335,0.8572238
9,9,0.1040557,-0.017576098
4,4,0.00037362712,0.99539745
7,7,0.0044042477,0.1889888
1,1,0.00068182324,0.9365454
2,2,0.115517475,0.01653099
3,3,0.014594851,0.5592929
8,8,0.012320804,0.9983329
0,0,0.23007631,0.94758797
4,4,0.6187185,-0.2149216
9,9,0.00041134443,0.9994746
4,4,0.13094781,0.9759136
2,6,0.5045968,0.8768333
7,7,0.0012533613,0.7335403
3,3,0.0022513042,0.99945897
1,1,0.010678043,0.9625421
8,8,6.464744e-05,0.0016789436
8,8,0.00033822918,0.008770347
9,9,0.00010128503,0.016563416
5,5,0.00020530273,0.36734897
2,2,7.435854e-05,0.00012230873
5,5,2.0451575e-05,0.14550507
7,7,1.4507647e-05,0.9834729
1,1,0.00015680949,0.9980713
1,1,0.0036620568,0.99904346
3,4,0.080283776,0.98393106
9,9,0.003979085,0.9990587
2,2,1.6451602e-05,0.9881264
5,5,0.019176746,0.9716809
0,2,1.0594361,0.42684656
1,1,0.001169535,0.9011642
4,4,0.01398283,0.05416435
3,5,0.0077223624,0.99886626
2,2,0.00045071892,0.008566499
7,7,0.0002457358,0.96108943
8,8,0.0008733609,0.040331006
0,8,0.00089674233,0.9725915
8,8,0.0003596334,0.0025615096
5,5,3.126605e-05,0.016140461
