predictions,labels,entropys,plpds
6,6,5.8678743e-05,0.0030999184
1,1,0.008650559,0.99870294
1,1,0.0021679616,0.99965036
7,7,8.818862e-05,0.09062719
8,8,0.0009306804,0.9998971
9,9,0.00017336968,0.7747857
9,9,0.001015548,0.99954736
7,7,0.00030585565,0.973461
2,2,1.4525986e-05,-8.34465e-07
8,8,0.00013305878,0.09335333
4,4,2.155859e-05,0.9998609
8,8,0.0021083038,0.96246576
4,4,0.00042939035,0.086078405
2,2,1.556052e-05,0.8278277
0,0,0.0006470976,0.06780261
1,1,0.00013392174,0.99889797
5,5,5.5557366e-06,0.0006133318
2,3,0.053684246,0.9870112
4,4,0.004275765,0.0028119683
9,9,0.0004258756,0.9999437
3,3,2.1859714e-05,0.96423626
1,1,0.002002696,0.0030571222
5,5,0.0003016225,0.0006222129
8,8,7.989633e-05,0.9998848
4,4,0.0001665317,0.3670435
7,7,0.03526028,0.841113
8,8,0.0022881557,0.99320376
1,1,0.0039272658,0.9976375
1,9,0.052093346,0.9914791
0,0,0.0033553364,0.97951496
9,9,4.4569955e-05,0.99812233
2,8,1.4365708,0.4343622
7,7,5.939239e-05,0.00028163195
6,6,4.284595e-05,0.07702434
5,5,0.00023937454,0.8784378
7,7,8.6661305e-05,0.9981372
0,0,0.19380628,0.96505207
7,7,5.7110832e-05,0.13123655
0,0,0.00014851024,0.99709797
2,2,0.00030421943,0.0045832396
7,7,0.0029153617,0.9365613
2,2,0.0004747939,0.99903166
0,0,0.00050020026,0.20992088
7,7,0.32681224,-0.08658016
2,2,0.0040708627,0.9983278
8,8,3.0998184e-05,0.016663074
0,0,0.00090246426,0.9801379
6,6,0.04770138,-0.0075728893
8,8,0.0010296248,-6.210804e-05
5,5,0.014450199,0.98790836
8,8,6.383579e-05,0.67521954
2,2,0.17853057,0.84359527
1,1,0.000827519,0.4755227
5,5,2.5026886e-06,1.5497208e-06
7,7,0.00017669241,0.9991899
8,8,0.0017614271,9.4115734e-05
5,7,0.7018491,0.6500899
0,0,0.0014156714,0.99926364
5,5,3.102893e-05,0.001016438
2,2,0.0005711932,0.3355772
2,8,0.011603316,-0.00096565485
0,0,0.0078020403,0.0046429634
0,0,0.0001672779,0.8857982
5,5,0.0015584719,0.9989482
