predictions,labels,entropys,plpds
6,6,0.0036368268,0.56700677
5,2,0.38290325,0.8602704
1,1,4.1510415e-05,0.70331955
3,2,0.0027789462,0.9969337
2,2,0.00010805108,0.9981544
0,0,7.812425e-05,0.99750555
3,3,0.06496534,0.68457294
9,9,0.0020310096,0.9623248
1,1,0.00070882245,0.99286646
9,9,0.00082523306,0.97767365
4,4,0.3995446,-0.09472132
5,5,6.34789e-05,0.059051454
4,2,0.033554588,0.99515593
2,2,1.0400362e-05,0.27013814
1,1,0.00075600384,0.9999198
5,3,0.39374456,0.85702294
7,7,0.0013978899,0.92330414
2,2,0.010665705,0.9729756
2,2,0.00050928287,-2.3007393e-05
9,9,0.000244949,0.7507123
1,1,0.00045570434,0.11377144
7,7,5.2553304e-07,0.046205103
6,6,6.1294886e-06,0.063331366
2,2,0.31343707,0.904863
0,0,0.00020848068,0.0038235188
8,8,0.00012652506,0.0029344559
7,7,0.041494213,0.9942404
2,2,6.248198e-05,0.36169994
3,5,0.005870514,0.99934655
5,5,0.04314237,0.9928312
7,4,0.011263168,0.99858004
8,8,4.130455e-05,0.9988033
4,4,0.0006322488,0.0056055784
3,3,0.0030875176,0.93414015
2,2,0.0010054188,0.9943031
4,4,0.025216915,0.9958778
6,6,0.0013893326,0.324027
1,1,9.2614806e-05,0.18709219
6,6,0.0046673473,0.009571314
8,8,0.0041581066,0.9955154
0,0,0.0016712404,0.12671745
0,0,0.00018024204,0.64113
8,8,0.07941676,-0.013971984
1,1,0.0002179043,0.001603961
5,5,0.0010314995,0.7061566
9,9,0.0013640558,0.9996451
5,5,1.8214003e-05,0.048710942
5,5,0.0002317983,0.9968585
2,2,0.010853073,-0.0011621714
6,6,6.8197645e-05,0.008844435
7,7,0.047967386,0.94760275
9,9,0.012445236,0.2741968
6,6,0.004078193,0.0162642
4,4,0.00063131005,0.973173
8,8,0.002470235,0.9225876
6,6,0.0050748046,0.05892116
7,7,0.023939254,0.024262011
9,9,0.15928084,0.87121177
9,0,0.3639056,0.3956747
9,9,3.2425378e-05,0.35494304
7,7,0.66359794,0.70448613
8,8,0.00025307867,-1.001358e-05
0,0,0.0022641248,0.9935781
2,0,0.2081145,0.43616402
