predictions,labels,entropys,plpds
7,7,0.004335853,0.9994591
8,8,0.0001937935,0.34720993
8,8,0.0014945776,0.02590841
7,7,0.00038104987,0.3586831
3,3,1.8972227e-05,0.999472
9,9,0.0012075966,0.044092
8,8,0.00017934214,0.93680483
7,7,7.272281e-05,0.9987992
1,1,0.002579277,0.99972755
6,6,2.698272e-05,0.0042791963
0,0,8.0210215e-05,0.2836203
2,2,0.002855396,0.984623
4,4,6.8787835e-05,0.022135377
1,1,5.5994704e-05,0.98065877
6,6,0.0007410616,0.9997237
9,9,0.03211466,0.98214084
6,6,0.0015363549,0.99982315
6,6,0.027336016,0.453142
3,3,0.0023788684,0.9907556
1,1,0.0001084042,0.96643627
4,7,0.517003,-0.18406612
6,6,0.00030373316,-2.0980835e-05
4,4,0.0016280572,0.9998347
6,6,0.00016254104,0.99917364
7,7,0.00012969211,0.2005521
5,5,0.53758,0.83652604
1,1,0.00033910974,0.002746284
4,4,0.0013311229,-0.00011587143
7,7,4.1142976e-05,0.63314545
7,7,0.00028586225,0.9947164
7,7,1.6621532e-05,0.5309137
2,2,0.7264015,0.5557678
0,3,0.652631,0.80977315
5,4,0.59080285,0.7854064
4,4,3.1229043e-05,0.9984543
8,8,0.00037068105,0.999932
2,2,0.008854362,0.9990495
1,1,0.0077884775,-0.00076282024
8,8,6.843699e-05,0.999026
4,4,0.000297211,0.9990173
3,3,0.0071228957,0.8884872
3,8,0.62788177,0.83168757
5,5,0.0001325149,0.014307201
0,2,1.3962799,0.251466
2,2,0.28295368,0.50661874
2,2,2.3261024e-05,0.99978954
5,5,0.00015353032,0.99910164
7,7,0.008760111,0.25638032
1,1,1.812083e-05,0.00014746189
8,8,0.014634858,0.9983985
5,5,1.4444429e-05,0.99299866
3,3,9.315739e-05,0.99358076
3,3,0.088419415,0.7855944
9,9,0.0053266115,0.9747611
1,1,0.000110407214,0.04642552
2,2,0.0007144784,0.9820276
0,8,0.6447715,-0.22514689
0,0,7.503153e-05,0.13270801
7,7,0.00011152199,0.029168904
2,2,0.0009200757,0.99758494
3,5,0.34686035,0.70299375
2,2,0.002108064,0.754871
2,2,8.0945174e-05,0.4814452
5,5,5.1979634e-05,0.9999954
