predictions,labels,entropys,plpds
8,8,0.0034006801,0.9517594
1,1,0.0021388668,0.00627321
1,1,0.00012127296,0.9967698
6,3,0.5515249,0.84801304
4,4,7.8267556e-05,0.052636087
0,0,0.00029966037,0.018633366
1,1,0.00014458637,0.6288827
0,8,0.4201483,0.4272851
4,4,0.14228626,0.54565245
1,1,0.18723693,0.31524116
8,8,0.0013733171,0.9918198
9,5,1.2702078,0.4143323
6,6,0.00056832156,0.023992836
2,2,0.32630563,0.92326087
2,2,4.280776e-05,0.094551384
6,6,0.0018725555,0.0031262636
7,7,0.22195497,0.9427883
3,3,0.00026172877,0.040257215
0,0,0.0009629453,0.0017918944
4,7,0.018200824,0.99762076
1,1,0.00936877,0.116791844
9,9,0.0075687524,0.9987724
5,5,5.5933666e-05,0.99999475
7,7,0.00017532993,0.34131294
7,7,0.00031648963,0.9956185
0,3,0.6785163,0.82551837
7,7,0.00027530032,0.9842914
1,1,0.0033037,0.7930252
5,5,0.30464318,0.8377496
8,8,7.861033e-05,0.094243765
0,0,0.0015789099,0.9936481
8,8,0.002551849,-0.00021654367
8,8,0.00027680612,0.10095781
1,1,0.050238885,0.075987816
2,2,0.0013351028,0.9997916
9,0,0.007653763,0.9943182
7,7,0.002839557,0.9988935
5,5,0.0057305037,0.99706465
1,1,0.0058497814,0.02638483
4,4,0.020839082,-0.0013319254
6,6,0.00013947459,0.8754207
5,5,0.08680998,-0.016937137
4,4,0.010257293,0.08250773
7,7,0.0032906164,0.99938464
1,1,0.01617935,0.99641454
5,3,0.67531204,0.59033626
0,0,0.035625134,-0.0056496263
0,0,0.0007446808,0.99436486
3,3,2.0457832e-05,0.14091718
2,2,0.4772939,0.89247674
7,7,0.005064134,0.9939933
6,6,0.00017362535,0.9992634
2,2,5.1196657e-05,2.2888184e-05
7,7,0.00016406162,0.99998647
3,4,0.105646595,0.9813197
0,0,0.00055077334,0.0011333823
5,5,0.00022002491,0.9992774
2,2,3.2894353e-05,0.99868673
0,0,9.6545016e-05,0.40131015
8,8,0.0058013173,0.08716488
1,1,0.0004035739,0.9998942
6,6,0.0014524669,-6.2942505e-05
5,5,0.0004137056,0.0010595322
0,8,0.5023773,0.06411791
