predictions,labels,entropys,plpds
8,8,0.002040133,0.91239345
6,6,0.0005987129,0.9690287
6,6,0.0049548317,0.0039978623
6,6,0.00012317987,0.9994507
6,6,0.00026476008,0.022336483
7,7,0.03413949,0.9847836
6,6,0.30713415,0.87481046
5,5,0.00041686874,0.053432763
5,5,0.040921085,0.9935391
5,5,0.0015710781,0.053247333
4,4,0.0022048173,0.99614614
6,6,0.011863648,0.98314786
7,7,0.00089490926,-5.9962273e-05
7,7,0.0049708565,0.5476149
5,5,0.008177348,0.9974607
4,4,0.14551675,0.9693264
1,0,0.6501226,0.71556723
3,3,1.5002249e-05,0.0020250678
4,4,0.0002536124,0.20392948
1,1,0.00017542252,0.9997811
9,9,1.1408545e-05,0.00015187263
8,8,0.0002644579,0.12948233
3,3,1.9628109e-05,0.7160857
5,5,0.043718565,0.914567
1,1,0.059080794,0.9510946
6,6,0.00016756315,0.015897453
3,3,3.1178624e-05,0.13386673
1,1,4.0465256e-06,0.9894103
5,5,0.008918418,0.99043477
8,8,0.0018128782,0.87251055
1,1,0.00034301556,0.0009621382
9,9,0.0008390543,0.99979997
7,7,0.0013071713,0.0013924837
8,8,0.00015331601,0.00022608042
0,0,0.00011268424,0.9800638
5,5,0.5915011,0.07099962
3,3,0.110123985,0.5683615
2,2,7.915117e-05,0.006203711
0,0,0.00031333024,0.9999693
4,4,0.055047583,0.91604376
4,4,0.002108045,0.9967291
2,3,1.2094009,0.4267257
5,5,0.014806559,0.90930116
2,2,0.00043225265,0.99678504
7,7,0.00049976597,0.9724448
0,0,0.00029491563,0.97957355
8,8,0.0002541321,0.0074163675
3,3,0.14174327,0.9680754
2,2,0.00015210216,0.00078874826
0,0,0.0002219594,0.9956652
3,3,0.03655272,0.99448067
7,7,3.3931927e-05,0.9841223
3,3,0.0072739734,0.99845487
6,6,0.6531587,0.7556228
5,5,4.849964e-05,0.38604897
6,6,0.07240837,0.062497795
0,0,0.26582757,0.94271266
7,7,2.1959975e-05,0.98456156
5,5,0.021067258,0.99678284
4,4,1.7971546e-05,1.0728836e-05
1,1,0.00095090905,0.75440115
4,4,7.7472105e-05,0.9999583
9,9,0.011074092,0.9975011
7,4,0.5386467,0.1069417
