predictions,labels,entropys,plpds
315,315,0.9674418,0.06331444
161,161,0.7878528,0.24011487
541,541,0.9621558,0.29712886
766,766,0.05024877,0.031627238
241,241,0.24317896,0.24647373
784,784,0.13947617,0.57182515
699,699,0.15489338,0.0047525764
632,632,0.15954588,-0.010100305
689,869,2.2567513,0.3553442
873,873,0.58311254,0.82922935
384,371,1.2405597,-0.105394185
819,632,0.054882713,0.30847013
524,524,0.66150093,0.25443402
908,908,1.8852932,0.44969353
709,893,1.1584343,0.80097806
510,510,0.006544063,0.0015832782
198,198,0.29349893,0.06615907
919,920,0.699457,0.30727997
24,24,0.013482217,0.016122997
799,799,0.5900856,0.04850912
426,426,0.56804013,0.83685267
223,223,0.6257429,0.4926921
570,691,0.36527142,0.41468543
20,20,0.0074820123,0.059264243
313,313,2.0858042,0.72578335
289,289,0.1728943,0.00668031
427,729,2.7657063,-0.33492774
280,383,0.070452884,-0.0011039972
739,739,0.007060964,0.0011131763
49,49,0.8588594,0.8199311
94,94,0.06015886,0.029323697
973,976,1.0440856,-0.31847274
231,231,0.4561624,0.080910206
510,510,0.04645367,0.0014091134
317,317,2.6522694,0.15261452
949,949,0.04690489,0.0064527392
355,355,0.11371545,0.09642172
265,539,1.7913634,0.30468693
514,514,0.45738435,0.9126068
154,154,0.08196112,0.10613257
777,777,0.19421872,0.032479525
695,695,0.1539336,0.014842927
469,567,1.0325425,0.5935717
579,579,0.04035343,0.00882405
263,263,0.6756585,0.24197143
192,186,1.1144905,-0.18321466
954,954,0.1421143,0.786916
690,690,0.72530323,0.8432878
123,124,1.6729345,0.26278985
906,834,0.34641612,0.043878853
633,633,0.49436355,0.3219983
948,948,0.063232765,0.0367015
705,864,0.71824896,0.2040078
819,819,2.2358665,0.19475085
336,336,0.16526045,-0.0010502338
102,102,0.110216126,0.0026795864
944,944,0.011621285,-0.00021666288
146,146,0.77025044,0.72161156
508,508,0.8146057,0.21621943
720,720,0.47555128,0.12844491
175,175,0.5806197,0.088725686
119,119,0.16443019,0.4453326
299,298,0.08486125,-0.0035071373
758,758,0.21263728,0.23995912
