predictions,labels,entropys,plpds
748,748,0.9964683,0.4953303
33,74,2.494741,0.40679342
651,651,0.25487515,0.06168294
955,955,0.3224684,0.07987565
166,166,1.957402,0.2990499
554,554,0.26335412,0.016434908
361,361,0.4080837,0.042201936
91,91,0.1971186,0.11221129
99,99,0.38998258,0.34498698
83,83,0.31781095,0.0033605695
645,645,0.31439024,0.023465335
697,697,2.9989064,0.23194157
9,9,0.36560988,0.017784834
931,931,0.38478976,0.9207292
905,798,2.8338132,0.5054745
391,391,1.4299074,-0.2869541
541,541,0.24075639,0.017237782
641,641,0.24303603,0.3033296
548,548,0.2810146,0.0208655
984,632,2.7944255,-0.13481092
595,595,1.3023317,0.5882971
13,13,0.493811,0.006491065
839,839,0.44811994,0.39537257
224,224,0.5713269,0.25309646
470,470,0.44596115,0.12902588
30,30,0.6504067,0.46171442
5,6,1.2501525,0.11850476
237,165,1.1972265,-0.056212902
879,879,3.2963576,0.3777703
480,480,0.41730076,0.18286109
459,459,0.54841965,0.60848975
726,726,0.20295748,0.054888725
527,673,1.2623369,0.62160134
107,149,2.2300515,-0.3409922
717,717,1.4479432,0.40773177
292,292,0.4476178,0.042651832
303,303,0.3459375,0.9576417
975,449,0.80819523,0.068908215
496,806,0.6232174,0.9149316
459,459,0.73510396,0.27975553
373,370,2.3057845,0.5075724
716,912,0.9915436,0.69105345
576,576,0.59038305,0.62489367
438,618,2.8439903,0.4363073
145,145,1.6397765,-0.09683508
811,811,0.9392164,0.893907
865,865,0.21725449,0.029831648
207,207,0.47410896,0.94139993
401,401,0.46076941,0.8662537
145,145,0.24127488,0.05237055
271,272,1.6854371,0.16173926
892,409,2.8721442,0.2353899
32,32,0.33410355,0.8077111
741,741,0.41804922,0.4313408
975,975,1.0129931,0.40914613
980,869,2.4152331,0.44837332
435,435,1.3443184,0.46054053
66,932,2.6183767,0.1220009
796,796,2.1453261,0.5058455
116,116,0.36574906,0.37505335
851,851,1.0189419,0.84513843
79,69,2.1212397,-0.48864463
460,460,1.3176012,-0.10846591
421,421,0.11755934,0.021618187
