predictions,labels,entropys,plpds
668,668,0.76789725,-0.3221743
391,391,0.0661574,0.26116872
162,161,1.1768084,0.38764644
529,658,1.4335195,0.56481117
838,838,0.6246879,0.46848643
628,628,0.9502796,0.54914564
783,783,0.052540835,0.0025398135
611,599,1.7974123,-0.42787617
399,399,0.56916654,0.9111136
877,877,1.2405791,0.8150206
202,202,0.6175469,0.8760208
966,907,0.78606856,0.5668178
318,318,0.004831101,0.013838708
280,62,3.4299927,0.23086414
936,940,2.146396,0.5334603
230,230,0.2611179,-0.009047806
32,32,1.9201478,0.50816077
430,890,0.9512939,0.8663115
815,815,0.20692681,-0.017626166
542,558,3.5429225,0.20416833
723,723,0.013523828,0.16959894
325,325,0.2815629,0.17799741
530,532,2.8586128,0.32426125
210,217,0.94631094,-0.22113854
460,58,3.3233542,0.26937535
51,51,0.23159218,0.96874225
97,97,0.019275349,0.003789246
304,304,1.6988118,0.57965827
150,150,0.056394875,0.041810155
348,349,0.69499743,0.34453368
676,198,2.084119,0.49603096
469,469,1.9658246,0.3704795
367,367,0.5797514,0.75347346
246,246,0.21619317,0.77444726
636,600,1.8077269,0.5365652
204,252,2.6786785,0.33959514
619,584,4.5546474,0.14546283
102,102,0.115145236,0.5916704
196,198,1.1876048,0.27078542
243,243,0.79810196,0.7283842
97,97,0.04278128,0.02282226
372,372,0.007241726,0.0048829913
77,77,0.832013,0.30289197
678,678,1.4428136,0.71785593
497,442,2.5267744,0.2613887
685,685,0.0014512776,0.00047928095
541,566,1.7072458,0.5264826
619,619,0.7027567,-0.070958436
366,366,0.013282217,0.0012571216
212,212,1.0627158,0.4795988
295,295,1.4057763,-0.31229562
696,666,1.3742579,0.5181111
80,417,2.6613774,0.59042156
831,831,0.85798013,0.85161495
764,413,0.77011454,0.6268914
399,501,0.91927814,0.5521476
905,905,3.2910514,0.21158539
795,795,0.19509582,0.9687181
295,295,0.015777174,0.96856594
655,834,1.4537044,0.60650456
161,161,0.10771577,0.9812274
90,7,1.3604286,0.42579606
856,856,0.6632665,0.87126356
196,250,1.0889556,0.8144528
