predictions,labels,entropys,plpds
106,106,0.00654935,0.01449132
492,648,2.4494317,0.47743338
179,252,0.6435425,0.42085108
244,244,0.012552611,0.0009704828
920,920,0.0004566878,0.0002808571
990,990,0.026652465,0.015783727
62,62,0.32960594,-0.016528964
349,349,0.47891468,-0.05576229
890,890,1.0687668,-0.016982138
150,150,0.024923906,0.0038474798
708,708,0.04554548,0.16880238
283,283,0.36304072,0.822534
694,694,0.0025899434,0.0032794476
637,637,0.9683484,0.05747664
877,877,0.11918723,0.23950589
766,766,0.002880128,9.781122e-05
911,735,1.5687723,0.4050164
265,265,0.47687206,0.28925794
92,92,0.0049121426,0.00025749207
491,491,0.3656617,0.13204485
756,756,0.18745337,-0.026644409
215,215,0.1851074,0.8407364
430,430,0.08803482,-0.004933119
353,353,0.085426,-0.002511084
629,629,0.1586708,-0.0077250004
477,785,3.2193503,0.33922705
938,937,0.23700958,0.30870903
75,305,1.9465603,-0.15842646
965,965,0.11950728,0.41217262
914,914,0.5855256,0.010545015
796,796,0.5358543,0.026791513
992,992,0.26411986,0.033999383
731,896,0.35135365,0.7870121
834,834,0.37619042,0.17189169
15,15,0.0018384415,0.0053398013
73,314,1.7689039,-0.016963392
224,224,0.02242934,0.013027668
717,717,0.08954798,0.8898963
675,675,1.1312022,0.7513617
733,523,1.8605626,0.5561367
905,600,2.7109241,-0.07605228
607,607,0.0008118601,6.0915947e-05
92,92,0.0015058726,6.41346e-05
454,454,0.86427,0.021466374
611,961,0.52569824,0.52553976
434,533,2.3224258,0.24686766
918,918,0.015962215,0.00057286024
938,938,0.008373132,-0.0007940531
605,605,0.25796437,0.0010780692
685,685,0.0007464038,4.9948692e-05
137,137,0.09046775,0.07119048
595,595,0.10809718,0.0035508275
223,223,0.18807712,0.05108899
239,214,1.9415911,-0.22055745
95,95,0.00078370876,0.00020307302
760,894,0.5723814,0.5851071
338,338,0.088406496,0.16541189
302,302,0.024858087,0.016952753
619,846,0.2328384,0.9403917
450,450,0.0011191289,0.06141144
511,511,0.55271554,0.8073786
785,785,0.14184263,0.27075976
368,368,0.26301396,0.09357637
873,873,0.14783663,0.020703137
