predictions,labels,entropys,plpds
767,767,0.009199861,0.00013846159
604,604,0.00037506287,0.996493
634,634,0.21372136,0.88310426
194,194,1.1797671,0.6994354
593,593,0.072343744,0.97505367
486,486,0.074949704,0.037026823
323,323,0.00083032757,0.00012105703
33,33,0.1706069,0.9621998
770,774,0.100156404,0.9811826
601,601,0.25978178,0.9395856
159,159,0.669601,0.1517865
504,504,0.39199385,0.42612812
548,548,0.034793437,0.04487574
50,49,0.6359718,0.5054336
903,617,1.7490983,0.6209109
417,417,0.026753308,0.97710586
437,437,0.02931469,0.00037562847
566,566,0.022989754,0.04495412
778,499,1.2495503,0.82436544
999,999,1.0621458,0.71798706
158,173,0.1869535,0.84379715
881,881,0.08310075,0.1154986
559,559,0.5464581,0.9264334
424,423,1.5346885,0.20284876
136,136,0.001373939,0.008951426
842,842,0.116068095,0.13929904
177,233,0.5216477,0.9047297
897,897,0.047440417,0.08613533
539,539,1.2565219,0.7136398
331,331,0.23999526,0.94708204
354,354,0.024329362,0.4049422
819,819,0.12707075,0.9748567
531,531,0.44129843,0.9350006
966,966,1.0834975,0.62543195
974,974,1.1291716,0.7956272
389,389,1.2673504,0.44142193
487,590,0.6508292,0.77279973
198,198,0.3514696,0.14119983
604,604,0.0012371063,0.03232938
353,353,0.04719444,-0.0018404126
610,797,4.377844,0.17110816
710,710,0.033665627,0.035579562
68,68,0.8413925,-0.028187454
396,396,0.0018713069,0.0010579228
463,463,0.42043862,-0.054820597
177,177,0.054403357,0.9923324
550,550,0.13365394,0.9722101
47,47,0.010294668,0.009802759
719,719,0.5832373,0.90220225
235,193,0.92409945,0.11065835
407,407,0.09837042,0.0995754
443,443,0.01036614,0.00014483929
983,983,0.009948157,0.0066635013
102,102,0.03416622,-0.00011175871
924,924,0.029791096,0.0006557107
984,984,0.09096278,0.7220634
194,194,0.04572986,0.33441126
404,404,0.10859501,0.9371356
978,978,0.16232449,0.9028854
888,888,0.04364634,0.79285216
59,912,2.6372266,0.3778366
29,29,0.11267237,-0.0070474744
535,535,0.001332771,0.0029366612
527,527,0.78574306,0.73930144
