predictions,labels,entropys,plpds
808,808,0.009034001,0.6484115
190,190,0.046225622,0.03391224
913,913,0.08154244,0.45238036
365,365,0.005105179,0.0012454987
240,240,0.84752136,-0.19113201
28,28,0.03728053,-4.7564507e-05
252,252,0.07575917,0.07869959
306,306,0.011846608,0.08046991
112,117,1.210831,0.6905886
326,326,0.06333745,0.0991748
979,979,0.11593726,0.80694395
202,190,0.8067975,0.63965666
515,515,0.723112,0.56029487
952,945,0.56490344,0.79627395
940,940,0.10878973,-0.0079723
870,665,2.384132,0.37827164
672,669,0.10307236,0.82280153
874,874,0.03853607,0.59267664
416,416,0.10551624,0.8337251
92,92,0.0036128177,0.0015779734
393,393,0.4110915,0.13114798
513,513,0.040594123,0.0010620356
398,398,0.006957519,0.003812492
890,890,0.007756661,0.004315853
894,894,1.1791373,0.37705597
90,90,0.05980159,0.023141444
267,267,0.9063343,0.7221917
752,752,0.012534015,0.040630877
161,161,0.38660666,-0.06746048
406,663,0.027353922,0.0011460185
877,877,0.2912538,0.96296674
199,199,0.23131493,0.7451145
610,841,0.41697484,0.9168179
935,935,0.4204231,0.04946196
160,160,0.27663732,0.7930743
861,746,0.9339335,0.5184447
230,230,0.7886955,0.36260295
801,329,0.46253163,-0.007235825
787,645,1.8619456,0.39340767
700,700,1.2327893,0.55252194
235,235,0.30648246,0.20784837
357,357,0.03010394,0.66837037
728,112,0.4926936,0.57212174
51,51,0.0050806785,0.07012254
349,349,0.36228907,0.18747121
629,629,0.021052366,0.0011484027
386,386,0.43029878,-0.07124305
164,164,0.3848716,0.7819216
94,94,0.0089031365,-0.0001283884
611,591,4.053581,0.21798629
919,919,2.412969,0.4306616
160,160,0.1001766,0.9867419
724,724,0.05288081,0.16015393
359,358,0.85182965,-0.24136388
730,730,0.23818584,0.1663385
847,847,0.06777697,0.44016886
115,115,0.0015359351,0.00027036667
599,599,0.2970816,-0.011935353
984,984,0.05763507,-0.0026046634
686,686,0.031115074,0.9908037
513,633,1.4357581,0.4896951
80,80,0.002540999,0.02652663
515,515,1.6447356,0.7582237
806,806,0.2502002,0.11306095
