predictions,labels,entropys,plpds
44,44,0.3951621,0.8105096
732,732,0.7767302,0.42035592
391,391,0.46488526,0.7878503
806,64,3.192939,0.23878163
179,206,3.145762,0.35812715
550,550,0.5424708,0.90519595
179,179,0.24376824,0.6353229
545,545,1.0176587,0.87148684
845,845,0.6595449,-0.07768136
679,679,0.23538622,0.6417674
395,123,2.5221949,0.5150695
792,792,0.13058275,0.5198472
722,438,0.78994095,0.86419475
151,158,1.0423505,0.14761448
84,84,0.5731535,0.9072046
194,194,1.7052491,0.41269317
993,993,0.08845964,0.006984234
469,983,2.0276108,0.59071445
954,813,2.808065,0.43410617
929,419,2.8514864,0.32609484
120,120,0.09454236,0.9625511
815,815,1.6941593,0.7805562
905,811,2.1423392,0.61322945
602,602,0.6725329,0.83003783
101,101,1.605132,0.5340242
289,289,0.34836042,0.7070422
62,62,0.99504,0.65787923
704,704,0.2107921,0.92921007
222,257,1.1559263,-0.20998526
985,985,0.31324047,0.9652641
459,615,0.9948659,0.4180791
238,238,1.7536657,-0.025571674
398,398,0.037644878,0.0024559498
335,335,0.14897603,0.3793288
596,596,3.1137989,0.29687464
272,272,0.3170541,0.7055924
615,615,0.18580335,0.27118373
492,771,1.1329362,0.24823427
728,788,2.5944715,0.3280618
191,191,0.09690068,0.7902262
539,922,5.1616335,0.11516502
492,477,1.5745562,0.72628796
80,80,0.037884332,0.14706683
870,870,0.0850583,0.19436693
380,298,2.8421211,0.3705485
695,507,2.7034428,0.36494577
764,764,3.6933703,0.06214103
325,325,0.13925739,0.0014118552
27,27,0.45199335,-0.005520761
463,463,2.1652074,0.4516449
169,169,0.08047028,0.9453212
267,233,1.9952302,0.4366067
519,858,1.5180349,0.7271752
925,925,2.443398,0.5159927
42,42,3.744365,0.40792528
213,213,0.18014619,0.9715706
575,609,2.383904,0.23503318
323,323,0.22370026,-0.010666132
555,609,1.0286821,0.79185
122,865,2.464849,0.37389296
322,322,0.1613385,0.018649757
687,687,0.13664225,0.24466246
2,3,1.5249646,0.56180966
479,817,1.3798751,0.28075665
