predictions,labels,entropys,plpds
292,260,1.2925082,0.65370166
974,974,0.055601977,0.20756769
293,293,0.09060246,0.43278742
713,713,0.29476112,0.9696299
732,732,0.56390876,0.90299064
133,133,0.16873291,0.34918433
301,301,0.43892255,0.91792846
338,39,2.3217359,0.4092673
99,99,0.073682785,0.3550517
497,497,0.69161385,0.19907045
211,211,0.14921258,0.95812315
696,696,0.057612225,0.018102288
274,274,0.013189634,0.19416195
751,545,3.1368299,0.25647748
387,387,0.050425764,0.8178439
955,955,0.049639925,0.02061063
403,870,2.1610003,0.5265614
499,965,2.3631563,0.3410876
240,240,0.79412854,0.2922012
546,875,3.05003,0.393368
210,761,2.945813,0.32318538
234,234,0.40283045,0.8787587
292,806,1.3052948,0.69877225
275,275,0.039696548,0.062323272
738,899,0.21572353,-0.026903152
446,446,0.93504906,0.82452327
473,473,0.045787,0.9918228
934,934,0.043586783,0.9955786
826,570,3.1548297,0.34247163
313,313,1.1397228,0.7182896
355,183,1.4162643,0.57034224
408,779,1.5365107,0.43107805
105,210,2.014339,0.5019752
113,998,1.702074,0.6026475
476,476,0.17313515,0.86884034
420,420,0.12836821,0.26790398
187,187,0.7593921,0.801501
94,16,1.9154394,0.24768552
923,923,1.3793762,0.5701562
3,3,0.046085887,0.9443589
960,960,1.2111745,0.3811494
858,853,0.88192403,-0.04863578
756,756,1.4492798,0.61941516
823,823,2.2774086,0.5829765
471,471,0.78746474,0.86819655
173,173,0.015744839,0.016786397
263,263,0.1866594,0.73953086
676,676,0.36367887,0.9172357
697,614,0.6327398,0.85131675
573,704,4.2262087,0.086978726
463,463,0.27390206,0.48910037
247,247,0.048453134,0.98606247
541,469,2.3666415,0.6393484
223,252,2.1695309,0.37044173
208,179,2.4989877,0.29157782
277,278,0.61696416,0.1777482
983,983,0.68226296,0.9001543
615,615,0.29335314,0.02413696
883,883,1.2613761,0.61648583
896,896,0.020378044,0.91597074
991,991,0.60302013,0.050688386
251,251,0.039673027,0.5945928
87,658,2.0769985,0.48137474
58,60,0.58726436,0.6770777
