predictions,labels,entropys,plpds
336,337,0.3660739,0.93676853
371,371,0.08031688,0.44035518
261,261,0.0125571275,0.9983121
290,290,0.62429196,0.8262909
771,771,0.4733175,0.7199638
76,76,0.07334015,0.7932217
371,371,0.2664342,0.84077513
555,555,0.06387474,0.05334419
847,730,1.5072612,0.40584585
122,122,0.7054131,0.77073663
926,909,1.3534333,0.6151403
238,611,2.7819057,0.39635685
2,3,0.60368365,0.44983426
835,835,0.4987293,0.89483196
428,428,1.1010242,0.8298743
857,406,0.94175464,0.28713638
864,864,0.1741916,0.20105022
685,685,0.023340836,0.0007457733
18,18,0.042573366,0.037350357
630,834,0.44978034,0.651561
579,579,0.42339912,0.86492276
745,745,0.026569888,0.000821054
212,212,0.15628594,0.9749935
357,357,4.57078,0.11701902
554,554,0.04062596,0.055841804
980,812,1.9546458,0.56754
180,180,0.910022,0.5910858
223,223,4.3472395,0.16939521
949,956,1.2397629,0.52612203
17,17,0.006086305,0.01670742
214,236,0.8094564,0.8036293
955,955,0.108071744,-0.00669384
458,458,0.100410156,0.98951936
703,703,3.1530116,0.38177025
482,482,1.3606844,0.507328
141,141,0.008136423,0.9942172
516,516,2.0489535,0.5103513
14,14,0.039534297,0.067646146
301,304,0.17051345,0.3029254
2,999,1.6567148,0.6284746
720,720,1.8234582,0.41660923
323,323,0.009289885,0.0005760193
543,844,2.9139013,0.36177182
186,186,2.1141121,0.25151598
548,548,0.4172505,0.89708024
745,527,0.99065137,-0.116193295
148,983,0.21125534,-0.0069723725
321,321,0.38165724,0.94580334
581,581,0.011219002,0.9090516
171,185,2.7864738,0.19582151
407,407,0.2645916,0.92546517
56,56,0.29528219,-0.027142167
364,364,0.501681,0.88622
570,885,2.096528,0.6651646
427,427,0.089631535,0.018787026
216,216,0.11982244,0.9451551
33,145,1.8980029,0.5416627
765,634,1.7443658,0.589185
12,12,2.4489117,0.37424335
741,887,1.139788,0.3226156
496,411,1.6879365,0.6294385
726,726,0.018543921,0.000695467
646,640,0.3455992,0.3277917
627,627,3.54985,0.07589331
