predictions,labels,entropys,plpds
718,405,0.071221106,0.044303596
565,565,0.0055563925,0.34344757
746,746,0.006738457,0.033416033
458,458,0.03385099,0.04503697
895,404,0.3107069,-0.008338153
174,174,0.073789686,0.069790184
687,687,0.0011915776,0.0002681017
434,434,3.2180188,0.31938183
79,26,1.1617007,0.73772377
978,972,0.8056176,0.37437803
422,702,0.96434325,0.3685033
846,619,0.5561201,0.82167166
767,767,0.009671641,0.013705909
987,987,0.72612906,0.24345583
925,925,0.011044657,0.044003725
113,988,3.7260263,0.1364969
670,670,0.15477797,-0.017234802
934,934,0.8332045,0.6580095
321,321,0.013686542,0.0058036447
743,743,0.0042058714,0.008993089
202,202,0.22816151,0.033361495
922,922,1.4589707,0.024609894
497,497,0.6894748,0.25934225
285,285,0.051667612,0.06898695
250,250,0.17400901,0.02888161
299,299,0.44301495,0.85295904
915,915,0.0066861836,0.3775285
326,326,0.30775392,-0.04378158
264,224,0.9130448,0.66709775
7,7,0.18942216,-0.032923102
906,906,0.0014437444,0.00030571222
589,589,0.03958451,0.10198295
890,890,0.03872945,0.08201945
47,46,0.7680043,0.7867798
451,451,0.030692583,0.23059648
250,257,2.7718377,-0.22183591
234,234,0.122107424,0.95109046
343,343,0.024412386,0.99749637
900,900,0.013927295,0.73515695
73,74,0.43748116,-0.014519632
593,558,1.3088481,0.5925911
156,156,0.10643745,0.013485372
695,784,0.31740993,0.57865787
590,590,0.44162712,0.9358737
842,842,2.2329519,0.39481288
439,439,0.03687374,0.056467056
28,28,0.49940106,-0.00502342
205,205,0.19311541,0.9583895
794,854,1.1422834,-0.15917772
658,658,0.050820433,0.9941887
611,611,0.07436,0.5541494
596,596,1.024075,0.35653195
596,596,0.076192416,0.49939904
258,258,0.039833285,0.2669558
929,929,0.03100331,0.9476433
120,66,4.963743,-0.091805816
516,428,2.866578,0.40753487
23,23,0.0070128753,0.029449344
863,643,0.6076101,0.17156738
968,957,0.96575254,0.62944067
661,661,1.0799484,0.66313684
164,164,1.0750718,0.3132008
621,621,0.076802306,0.49508005
879,879,0.6794706,-0.28412294
