predictions,labels,entropys,plpds
498,498,0.11071645,0.9820958
378,378,1.7720975,-0.05324757
527,527,1.1795583,0.2655228
731,431,3.5733657,0.26397458
112,684,0.18959793,0.97364867
582,509,0.34954047,0.12070441
132,132,0.23523496,0.006272018
653,559,1.4427223,0.6278162
497,442,0.32660434,0.880111
85,85,0.18588835,-0.0075460672
899,899,0.01994357,0.9222406
650,683,2.0385385,0.50345665
421,516,0.44572848,0.91633993
25,25,0.4651214,0.64489055
444,444,0.0234458,0.035288572
810,627,3.1361175,0.18776123
466,466,1.3271306,0.6738078
897,897,0.14228559,0.8614747
636,464,0.64977354,0.77060765
822,412,1.3502226,0.48147464
33,33,0.041023973,0.92690265
273,286,2.3738608,0.1261138
696,696,0.074867554,0.07015753
585,680,1.0533355,0.62504256
489,489,0.77790916,0.8418227
227,281,1.8230072,0.10806021
247,247,0.16186915,0.55704856
746,804,2.3333726,0.35212427
732,732,0.35526165,0.91606444
892,778,1.8834515,0.38356534
581,599,1.375642,0.5364834
706,706,0.12796964,0.040776312
279,279,0.56182873,0.8857042
545,545,0.033754624,0.7991141
333,333,0.001954009,0.18727034
858,858,0.43415385,0.87783414
924,924,2.013735,0.55203867
327,327,0.22960909,0.7545693
639,639,0.9944465,0.46904877
741,599,4.3559055,0.09622278
299,299,0.077619016,0.962656
807,807,0.16156358,0.42155415
91,91,0.31653276,0.8401738
160,160,0.08044505,0.97593397
30,30,0.033757962,0.18953067
340,340,0.06270762,0.0045969486
620,594,1.0622975,0.57207847
440,737,0.2631089,0.713791
177,233,0.090395875,0.97201717
282,282,0.24784909,0.011604011
647,647,0.27638942,0.24730682
427,509,3.8191128,0.21361828
766,766,0.015094373,0.010542929
337,133,0.61646503,0.85605013
105,105,1.6592888,0.55126476
986,986,0.053068787,0.009953618
790,790,0.005039376,0.39453787
228,228,0.1934749,0.15360892
257,257,0.2729566,0.17289078
777,623,1.5722628,0.6035569
571,571,0.2710832,0.96425974
183,183,0.19975822,0.82407707
103,103,0.1669803,0.6029054
776,772,4.0270243,0.19828553
