predictions,labels,entropys,plpds
690,345,1.0235326,0.58339924
513,513,0.027414303,0.047604203
662,662,0.054185204,0.99364275
677,677,0.8066093,0.16259277
612,612,0.018820405,0.64879966
723,723,0.0026644259,0.00109905
713,485,1.9322462,0.3261562
36,36,0.37799704,0.12536615
989,989,0.0015072869,0.0005725622
232,232,0.3391532,0.07661271
170,170,0.067329854,0.030170918
402,402,0.050375372,0.58664757
719,719,0.005065463,0.0070952773
521,521,1.5525645,0.5429937
241,241,0.06722153,0.10331559
722,722,0.01921891,0.008858144
471,471,0.06378506,0.123197675
11,11,0.0014049308,0.00015753508
64,64,0.32084435,-0.02840513
528,480,0.57347524,0.8925224
212,212,0.18028435,0.39140546
68,66,0.9554629,-0.18630666
270,270,0.07447067,0.49132845
215,215,0.031834878,0.98659086
421,421,0.022656426,0.0033899546
727,727,0.0011034078,0.004780948
421,705,0.5046921,0.935601
360,360,0.0026471782,0.0014089942
499,499,1.2808588,0.7304879
91,91,0.0015699628,0.009437442
232,232,0.21760511,0.9580042
597,597,0.0033840402,0.005087018
350,350,0.23182552,0.2884314
410,410,0.28466624,-0.050330758
903,501,1.4080188,0.24660805
468,468,0.37006205,0.93215585
191,191,0.14148687,0.013536394
41,41,0.46738273,0.77895874
152,232,2.223233,0.31179008
299,299,0.02862365,0.009617507
474,474,0.07714315,0.01505667
698,698,0.043930553,0.009045422
866,866,0.7130885,0.67294097
187,201,1.6684076,0.5827804
27,27,0.07415187,-0.002336979
539,539,0.013995267,0.41043633
891,891,0.0002570484,0.121168375
649,649,0.03174189,0.00017040968
15,15,0.0031392393,0.013970256
674,674,0.006264093,0.85978264
73,77,0.19895245,0.92475814
783,783,0.10658076,0.01388669
842,842,0.6001644,-0.02812457
767,418,3.236535,0.19519877
792,792,0.24473579,0.22935998
358,358,0.33136544,0.30749303
437,437,0.011424968,0.9809455
499,499,0.016040746,0.47154415
597,750,3.1712492,0.25840667
787,787,0.0406221,0.16266942
209,209,0.006223073,0.01524055
357,357,0.3187375,0.55148506
174,174,1.3069941,0.537102
235,235,0.24231035,0.2370277
