predictions,labels,entropys,plpds
207,208,1.0806005,0.48489276
391,391,0.16724518,0.88645834
797,797,0.2882246,0.9247602
609,609,0.031900167,0.978116
416,416,0.023532169,0.9922001
612,612,0.020808954,0.76787335
681,620,1.0466714,0.81495374
769,810,0.9303407,0.77927136
23,23,0.02198137,0.011739194
683,683,0.21803074,0.1707139
928,415,1.7747381,0.30438033
41,44,1.6117085,0.2799457
527,508,1.458987,0.54548794
495,860,1.9995886,0.63071704
113,113,0.045005366,0.99363166
432,432,0.01860306,0.9956825
482,662,0.9004255,0.39091307
717,717,0.040611178,0.9515785
134,134,0.3996967,0.14276767
526,526,1.7090132,0.5866872
107,650,1.1727017,0.022682011
734,734,0.23219515,0.2979787
782,527,0.5645578,0.04927838
693,693,0.034676816,0.9962102
868,34,3.1488361,0.2307477
679,679,0.036427736,0.056390822
285,887,4.4004383,0.21364829
475,475,0.12499701,0.9849488
250,250,0.6410873,0.46659288
848,848,0.7618889,0.12368542
307,307,0.9364375,0.8155283
325,325,0.08432861,0.014564455
4,4,0.026244294,0.9851747
54,54,0.54219335,0.8961557
44,42,1.2289666,0.53112876
3,3,0.20988286,0.95885956
702,702,0.71067977,0.6718683
322,322,0.6190531,0.7961176
877,877,0.7761328,0.89661264
985,985,0.027086355,0.0062104464
909,909,0.09141846,0.079610884
391,391,0.10795793,0.8332567
700,525,3.406678,0.35761088
472,472,0.34086502,0.9287117
934,934,0.12622298,0.95767224
999,700,1.3403175,0.39910424
535,535,0.008978156,0.97314024
287,175,0.9154134,-0.27257347
418,623,2.6548731,0.40866306
344,344,0.62623787,0.68322885
142,142,0.021533443,0.67643934
258,258,1.3366859,0.5328578
747,747,1.0043253,0.8367316
542,542,0.34168494,0.9424107
347,347,0.054404035,0.034156382
720,720,1.489115,0.65522844
541,542,1.2735777,0.53233784
359,358,1.1057564,0.25729993
197,197,0.12346954,0.98334366
746,746,0.016789403,0.002473712
94,94,0.023040295,0.14507449
216,840,1.8189688,0.6305314
879,879,0.028712349,0.97154164
576,576,0.023858268,0.99651164
