predictions,labels,entropys,plpds
778,345,3.0709891,0.25950724
840,840,0.018503077,0.0068232417
202,202,0.20618008,0.9336607
77,77,0.96123505,0.7556273
780,780,0.013715251,0.062220633
462,462,0.4545411,0.6181641
830,44,4.226394,0.19870247
338,338,0.37443045,0.10007274
709,769,0.13520879,0.23968524
237,151,0.8093163,0.5422218
247,247,0.026600465,0.37120497
158,158,0.8930801,0.7371838
582,582,0.066102386,0.13289839
459,459,0.11528471,0.9847059
911,911,0.2079915,0.9247356
354,354,1.0520754,0.80480385
293,287,0.023121737,0.9651021
587,587,0.79981506,0.6210889
487,487,0.05242277,0.07316291
955,955,0.00777934,0.0019290447
808,808,0.059816472,0.44648683
991,991,0.052879855,0.047820926
72,72,0.7317691,-0.021980286
104,104,0.107742056,0.989203
530,530,0.082972996,0.96419144
307,307,0.027468206,0.96915257
188,185,1.0405521,-0.10933435
825,825,0.45937,-0.020096421
659,925,0.86033785,0.7692437
192,192,0.18512574,0.10765797
18,18,1.1535771,0.7568364
796,796,0.12794702,0.8301811
333,333,0.014294037,0.10683519
829,829,0.045251768,0.59826636
391,391,2.2498841,-0.49318528
327,76,1.4537243,0.406274
126,118,2.036575,0.31954822
487,487,0.32225078,0.95101637
511,511,1.0993755,0.72745085
322,322,0.01792125,0.31415504
376,376,0.048305072,0.037101448
565,565,0.01719992,0.05482477
771,553,0.90502334,0.81332016
885,591,0.43242526,-0.024705708
715,715,1.4052621,0.16744244
456,456,1.281071,0.6704507
510,510,0.009475727,-1.7881393e-06
22,22,0.020697497,0.9978024
322,322,0.017601084,0.029993415
893,885,1.2259645,0.65102834
49,44,0.8206823,0.6207098
945,945,0.012061788,0.12251741
806,806,0.06647668,0.008200705
835,835,0.10416734,0.98965734
401,401,0.067898035,0.9778033
927,927,0.017141312,0.022960722
203,203,0.17495659,0.28709257
135,135,0.0023398977,0.004698038
721,149,2.7624989,-0.1437347
632,732,2.63245,0.30081487
32,32,0.45677525,0.940737
864,864,0.15592405,0.05967754
168,163,0.93071157,0.5408547
350,350,0.034378666,0.8033363
