predictions,labels,entropys,plpds
903,903,0.021158509,0.67871594
14,14,0.28650436,-0.0117483735
752,752,0.19923583,0.0027102232
872,872,1.1180121,0.70594907
23,23,0.3782032,0.94240475
609,609,0.011376273,0.9677467
245,245,0.25614864,0.14680755
910,910,0.8332901,0.5893587
775,775,0.026421826,0.08612138
259,259,0.14587796,0.93748915
147,147,1.1884407,0.54550385
883,883,0.095298134,0.89359677
120,50,1.6455886,0.480148
281,281,0.5334947,0.009637713
260,260,0.47400483,0.20281446
898,737,0.27114636,0.04393387
365,365,0.4765855,0.87369
54,54,0.939185,0.729217
720,720,0.036552474,0.0023558736
785,785,0.07777211,0.94052887
553,553,0.0482625,0.0033670068
349,349,0.10134442,0.48565271
892,892,0.12409755,0.011788368
58,58,0.17863242,-0.015620768
105,105,0.03554542,0.0034432411
894,651,0.5995821,0.6251731
303,303,0.13255176,0.16788709
980,980,0.118298315,0.44196922
430,890,0.6560866,0.4256901
114,114,0.63392866,0.44439223
393,393,0.14945196,-0.00845778
73,73,0.8732716,0.6321676
472,472,0.5212878,0.35492206
515,808,0.20354924,0.846699
570,691,2.4233022,0.565796
939,939,0.5345919,0.14472467
172,172,1.0604986,0.78313875
606,606,0.74790215,0.88422185
720,720,0.07652781,0.07505578
995,995,0.010526163,0.020733654
900,900,0.010758171,0.005949497
255,255,0.008619269,0.32256907
337,106,0.9435564,0.40633553
604,604,0.0054644844,0.007406473
169,176,0.8920524,0.589942
759,759,0.7184316,0.498714
975,975,0.009665821,0.23913139
225,225,0.6050072,0.7542901
602,639,1.3565993,0.39384815
191,201,1.2271507,-0.05191356
525,525,0.029421734,0.5552915
713,713,0.17404975,0.59645796
926,926,0.7863697,0.24670565
950,950,0.05622296,0.31445312
657,657,0.7179514,0.29219493
267,181,1.4438426,0.45962608
245,245,0.34196222,0.93328726
54,57,0.95749503,0.47523215
427,463,0.66351247,0.39697605
502,502,1.2239423,-0.21076524
217,217,0.061037768,0.030791283
214,214,0.043362595,-0.001313746
730,730,1.0526538,0.5494634
994,994,0.07136108,0.00702554
