predictions,labels,entropys,plpds
0,6,1.4746265,0.18788719
4,4,0.40028578,0.16156423
3,3,1.4220806,0.22563837
0,0,0.56882536,0.10658324
6,5,1.8253468,0.14852077
3,3,0.71472615,0.5588285
5,5,1.8157597,0.1720643
0,2,0.9194678,0.6865376
1,6,1.0708066,0.17437285
2,2,0.111287005,0.33578038
1,1,1.0933789,0.58912045
2,2,1.4019548,0.023293734
2,2,1.0791512,-0.4003806
6,6,1.7536452,0.15312494
1,6,1.7019248,0.27347028
4,4,0.7245362,0.38758615
4,4,0.82845414,0.6135936
1,1,0.22933067,0.057210863
6,6,1.8688562,0.10118185
1,1,0.15622842,0.38274366
1,2,1.3609478,-0.07200295
4,4,0.5537611,0.17374218
2,6,1.3316574,0.4399632
0,0,0.55109686,0.59786475
0,0,0.29212493,0.24698514
6,6,1.7770691,0.14066796
0,6,1.890528,-0.034778684
3,5,1.6979029,0.24038517
2,2,0.37767547,0.7013308
2,0,1.4758202,0.30810362
4,4,0.33372045,0.8513217
0,0,1.6127088,0.24858798
2,2,0.552373,0.27230012
0,0,0.05351408,0.834862
2,5,1.1677737,-0.00851804
2,2,0.11632846,0.6120281
4,5,1.8493838,0.17792341
4,1,1.1284462,0.37591398
0,6,1.5502124,-0.4618083
4,4,1.4811504,-0.048333764
0,0,0.60769093,0.44248366
0,0,0.8887222,-0.124305844
1,3,1.3929617,0.26789096
1,1,0.3998489,0.85729486
4,5,1.7553797,0.16267836
3,3,0.6521381,0.43574837
1,1,0.400991,0.4030447
5,5,1.8240311,0.13994846
3,3,1.1062384,0.18942297
6,6,1.6774732,0.29689017
6,6,1.3814652,0.06937522
0,4,1.0862246,0.38446864
6,6,1.6612577,0.10448624
4,4,0.78962475,0.27661872
2,2,0.39679307,0.7671172
1,2,1.096421,0.4854089
2,5,1.6937277,0.09267521
0,0,0.34971213,0.50417185
4,5,1.7163824,0.045803934
6,6,1.6605005,0.19236162
6,6,1.3505943,0.48059383
0,0,0.27782756,0.06890744
0,0,0.24090669,0.7882118
0,0,0.7843212,0.42221206
