predictions,labels,entropys,plpds
0,0,0.6049247,0.16661781
1,1,0.42473146,0.1319778
2,2,0.26238385,0.314251
1,1,0.26706636,0.5136101
5,5,1.0878059,0.35488567
2,2,0.4923975,0.47683573
0,6,1.4107854,0.076913804
1,1,0.31980646,0.08949888
5,5,1.5256448,0.38544533
0,0,1.4900239,0.36743063
0,0,0.16266796,0.034697294
0,0,0.23567764,0.77983934
1,1,0.56000364,0.59917724
0,0,0.33931458,0.18082243
3,6,1.637381,0.26765096
2,2,0.13112707,0.10143
2,2,0.26218596,0.08773953
2,2,0.38599306,0.6152172
1,1,0.40690255,0.8538391
4,4,0.39827698,0.17487872
1,1,0.5062345,0.5477146
4,4,0.61762774,0.51537615
6,1,1.6592575,0.29015994
6,1,1.644187,0.1603366
0,0,0.26955932,0.1945712
0,0,0.3218691,0.7174084
5,5,1.415796,0.27940845
4,4,0.83669937,-0.06782287
1,1,0.5831952,0.809733
2,2,0.1951297,0.30601323
1,1,0.5113145,0.7531828
5,5,0.7907709,0.5222553
2,2,0.5241922,0.59932184
6,6,1.7830386,0.20031497
2,2,0.37868592,-0.023598373
0,6,1.0764599,0.0045927763
2,2,1.1081364,0.46896124
4,4,0.25476408,0.16015327
1,1,1.8162152,0.16559753
1,1,0.7581338,0.59941274
3,2,1.4930394,0.24920039
4,0,1.5185387,0.35684276
2,2,0.7965888,0.20467347
6,6,1.6530142,0.053822577
0,0,0.6769437,0.39736784
1,1,0.74107325,-0.05814159
6,1,1.8194999,0.13636285
4,6,1.2347327,0.18398303
0,0,1.2882164,0.0058320165
4,4,0.35972083,0.13209528
0,6,1.1940391,0.2397024
5,5,1.472106,0.20236418
4,4,0.61504084,0.49604043
1,1,1.1262479,0.27378052
0,0,1.2143805,-0.13901585
1,1,0.49622336,0.55630386
2,5,1.8918874,0.07314201
4,4,0.35272554,0.56073725
0,0,1.3072822,0.027656317
2,2,1.5022866,0.0155119
3,3,0.25224498,0.14959383
3,1,1.4199865,0.4329639
4,4,0.35634166,0.32721686
1,1,0.775053,0.23850697
