predictions,labels,entropys,plpds
4,5,1.4947675,0.24448773
0,0,0.5166656,0.7882887
1,1,0.8113182,0.6659828
0,0,0.523821,0.26568067
2,6,1.7913936,-0.17028132
4,4,1.6733556,0.24875727
2,2,0.2448267,0.30090106
3,3,0.22126746,0.7022389
4,0,1.2954532,0.01732266
0,0,1.0938677,0.45957184
1,0,1.6008012,0.31344387
4,4,0.48669153,0.09804767
2,6,1.3089634,0.42622256
4,4,0.27574322,0.17632842
2,6,1.6865608,0.19463597
4,5,1.783773,0.040523738
1,1,1.4701312,0.32355386
1,1,0.724468,0.067944944
3,5,1.7008047,-0.13299036
0,0,0.38391346,0.6656279
2,6,1.7159878,-0.11523554
5,5,1.3620813,0.40503854
0,6,1.679507,0.288788
1,1,0.8711344,0.6307416
2,6,1.8474765,0.18403387
0,0,0.07164673,0.11358178
4,4,1.086859,0.53845024
4,4,0.8667532,0.3021746
1,6,1.5013783,0.25740355
4,5,1.7166146,0.04255742
2,6,1.6913109,0.21453905
4,4,1.3148513,0.56770885
1,5,1.8287406,0.1342659
1,6,1.7083656,0.17320818
0,0,0.578547,0.67921746
3,3,1.248564,0.52154404
5,5,1.7220805,0.2295653
4,6,1.6486058,0.025143415
2,2,0.0786666,0.2836836
2,6,1.803227,0.21367289
0,6,1.0876435,0.58355784
3,3,0.34293768,0.23707682
0,6,1.3579044,0.09652114
1,6,1.5947868,0.15744367
5,5,1.321955,-0.077726424
5,5,1.8284401,0.1137618
5,5,1.4505552,0.29610854
2,2,1.5993032,-0.01780349
1,1,0.5913861,0.13682777
1,1,0.81090313,0.60143954
2,6,1.7911575,0.2330157
4,4,0.69784355,0.604004
4,4,0.27369142,0.5370281
0,0,0.36170375,-0.024121642
2,6,1.4611626,0.36397773
1,1,0.2937159,0.69549125
4,6,1.7035117,0.09082201
4,4,0.36116838,0.39180434
4,5,1.4949292,0.098059684
1,6,1.4882934,0.22885242
1,1,0.15845782,0.34332925
4,5,1.8120607,0.20488244
5,5,1.7345202,0.14188051
0,0,1.0035447,0.04886639
