predictions,labels,entropys,plpds
0,1,0.87123305,0.6632674
6,3,1.6992145,-0.24852881
3,3,1.8482533,0.15317217
2,2,1.7885334,0.14116418
0,1,1.5548642,-0.03589511
6,3,1.876987,-0.011641353
1,1,0.4841479,0.20573902
3,3,1.373146,0.49436295
4,4,1.8071848,0.101667866
1,0,1.6265117,0.09500244
4,4,1.8094895,0.10051429
4,4,1.7812933,0.18849215
4,4,1.736671,0.11897509
3,3,1.6415107,0.17939273
2,2,1.6048725,0.2897898
6,1,1.8533565,0.010496765
0,0,0.40289423,0.14310509
1,4,1.7113762,0.16159774
6,3,1.8762213,0.099537194
1,1,0.6818619,0.35764804
2,2,1.6873167,0.16512254
5,5,1.1409248,-0.03484702
0,0,1.2841666,0.35811824
0,0,0.6237906,0.17757386
6,4,1.8343594,0.037907094
4,4,1.7460468,0.12492044
4,1,1.677746,0.081993476
2,2,1.8886799,0.14886831
3,3,1.7527688,0.24053265
2,2,1.7023885,0.2511747
0,1,1.7175839,0.023406237
4,4,1.6459346,0.3549247
4,4,1.4213859,0.43392524
4,4,0.90960526,0.50133514
6,4,1.8613951,0.017578185
1,1,1.3402383,0.42576241
4,0,1.6662456,0.3369805
4,4,1.5733392,0.414753
3,3,1.7359655,0.050979376
1,0,1.8108842,0.023397654
6,0,1.6329007,0.047081202
1,2,1.8062984,0.044177726
2,2,1.6937604,0.24196948
0,0,0.34451956,0.80692625
1,1,1.3863311,0.4623294
6,0,1.7829351,0.106436476
1,1,1.8257604,0.1423356
4,2,1.7165189,0.17414005
5,2,1.8020686,-0.2035293
1,1,1.5493484,0.09846851
5,5,1.7528638,-0.15311676
1,1,1.222902,0.35112655
3,2,1.837386,0.16660306
1,0,1.7826325,-0.18941474
3,3,1.1976959,0.38831586
5,6,1.7703638,0.013816923
4,0,1.8536273,0.0031331778
0,1,0.6015942,0.47159418
1,1,1.1112603,0.42336744
6,4,1.7275207,0.08511931
1,1,1.5419943,0.23008132
0,0,1.6434445,0.26677522
5,6,1.6925377,0.045036793
6,3,1.8240033,0.14190887
